 Tweet,Sentiment
 is so sad for my apl friend             ,0
 i missed the new moon trailer   ,0
 omg its already 7 30  o ,1
   omgaga im sooo im gunna cry i ve been at this dentist since 11  i was suposed 2 just get a crown put on  30mins    ,0
 i think mi bf is cheating on me   t_t ,0
 or i just worry too much ,0
 juuuuuuuuuuuuuuuuussssst chillin  ,1
 sunny again work tomorrow    tv tonight ,0
 handed in my uniform today  i miss you already ,1
 hmmmm    i wonder how she my number    ,1
 i must think about positive  ,0
 thanks to all the haters up in my face all day 112 102 ,1
 this weekend has sucked so far ,0
 jb isnt showing in australia any more ,0
 ok thats it you win ,0
  lt         this is the way i feel right now   ,0
 awhhe man    i m completely useless rt now funny all i can do is twitter http   myloc me 27hx ,0
 feeling strangely fine now i m gonna go listen to some semisonic to celebrate ,1
 huge roll of thunder just now   so scary    ,0
 i just cut my beard off it s only been growing for well over a year i m gonna start it over  shaunamanu is happy in the meantime ,0
 very sad about iran ,0
 wompppp wompp ,0
 you re the only one who can see this cause no one else is following me this is for you because you re pretty awesome ,1
  lt    sad level is 3 i was writing a massive blog tweet on myspace and my comp shut down now it s all lost  lays in fetal position ,0
    headed to hospitol  had to pull out of the golf tourny in 3rd place           i think i re ripped something    yeah that   ,0
 boring   whats wrong with him  please tell me           ,0
 can t be bothered i wish i could spend the rest of my life just sat here and going to gigs seriously ,0
 feeeling like shit right now i really want to sleep but nooo i have 3 hours of dancing and an art assignment to finish ,0
 goodbye exams hello alcohol tonight ,1
 i didn t realize it was that deep geez give a girl a warning atleast ,0
 i hate it when any athlete appears to tear an acl on live television ,0
 i miss you guys too i think i m wearing skinny jeans a cute sweater and heels not really sure what are you doing today ,0
   meet your meat http   bit ly 15ssci ,0
 my horsie is moving on saturday morning ,0
 no sat off   need to work 6 days a week ,0
 really dont like doing my room its so boring sick of doing my wardrobe out cant waiit till i have my walk in one yay ,0
 sox floyd was great but relievers need a scolding ,0
 times by like a million ,0
 uploading pictures on friendster ,1
 what type of a spaz downloads a virus my brother that s who   msn is now fucked forever    ,0
  amp  amp fightiin wiit the babes   ,0
          so i wrote something last week and i got a call from someone in the new york office   http   tumblr com xcn21w6o7 ,1
  enough said ,0
    do i need to even say it do i well here i go anyways chris cornell in chicago    tonight ,1
    health class  what a joke  ,1
  ginaaa  lt 3 go to the show tonight ,1
  spiral_galaxy  ymptweet it really makes me sad when i look at muslims reality now ,0
  all time low shall be my motivation for the rest of the week ,0
 and the entertainment is over someone complained properly   rupturerapture experimental you say he should experiment with a melody ,0
 another year of lakers   that s neither magic nor fun    ,0
 baddest day eveer ,0
 bathroom is clean     now on to more enjoyable tasks      ,1
 boom boom pow ,1
 but i m proud ,0
 congrats to helio though ,0
 david must be hospitalized for five days end of july  palatine tonsils  i will probably never see katie in concert ,0
 friends are leaving me  cause of this stupid love http   bit ly zoxzc ,0
 go give ur mom a hug right now http   bit ly azfwv ,1
 going to see harry sunday happiness ,1
 hand quilting it is then   ,0
 hate u    leysh t9ar5              ,0
  i always get what i want ,1
 i bend backwards ,1
 i get off work sooooon i miss cody booo haven t seen him in foreverr ,1
 i hate allergies should i get my hair cut tomorrow i m taking a public poll   ,1
